  289.8867   29.6767
  328.4110   49.2390
  288.6440   69.8881
  327.1683   87.2767
  368.1780   67.7145
  409.1877   86.1899
  366.9353  106.8390
  407.9450  124.2277
  452.6828  105.7522
  496.1780  123.1409
  448.9547  142.7031
  489.9644  162.2654
  291.1295  105.7522
  329.6537  123.1409
  291.1295  141.6164
  327.1683  160.0918
  368.1780  143.7899
  406.7023  163.3522
  366.9353  178.5673
  405.4595  198.1296
  447.7120  180.7409
  488.7217  199.2164
  443.9838  216.6050
  484.9935  237.2541
  293.6149  176.3937
  328.4110  194.8692
  294.8576  210.0843
  330.8964  227.4730
  366.9353  216.6050
  404.2168  233.9937
  366.9353  248.1220
  404.2168  264.4239
  442.7411  253.5560
  482.5081  270.9447
  442.7411  285.0729
  481.2654  303.5484
  268.7605  267.6843
  303.5566  285.0729
  241.4207  293.7673
  276.2168  310.0692
  340.8382  306.8088
  378.1197  322.0239
  314.7411  330.7182
  350.7799  349.1937
  416.6440  341.5862
  453.9256  360.0616
  389.3042  367.6692
  427.8285  388.3182
  212.8382  319.8503
  248.8770  337.2390
  181.7702  348.1069
  219.0518  365.4956
  286.1586  358.9748
  324.6828  377.4503
  257.5761  385.0579
  293.6149  405.7069
  361.9644  395.9258
  400.4887  416.5748
  333.3819  426.3560
  371.9062  448.0918
  153.1877  377.4503
  190.4692  394.8390
  123.3625  403.5333
  159.4013  424.1824
  227.7508  414.4013
  266.2751  435.0503
  196.6829  445.9182
  235.2071  466.5673
  304.7994  457.8730
  344.5663  478.5220
  274.9741  488.3032
  313.4984  510.0390
