  231.9210  100.3261
  265.5704   94.0766
  231.9210  127.4075
  264.5808  121.1579
  300.2096   86.7854
  330.8900   78.4527
  297.2405  111.7836
  327.9210  104.4925
  362.5601   70.1200
  392.2509   62.8288
  359.5911   95.1181
  389.2818   89.9102
  229.9416  154.4889
  261.6117  146.1561
  229.9416  178.4454
  261.6117  171.1543
  295.2612  137.8234
  325.9416  131.0531
  292.2921  160.7384
  321.9828  155.5304
  356.6220  122.1995
  385.3230  114.9084
  353.6529  146.1561
  382.3540  139.9066
  228.9519  202.4021
  259.6323  195.1109
  227.9622  224.2755
  257.6529  215.9427
  291.3024  187.8198
  320.9931  180.5286
  288.3333  208.6516
  317.0344  201.3605
  351.6735  171.1543
  379.3849  164.9048
  347.7148  191.9861
  374.4364  185.7366
  239.8385  269.0639
  268.5395  260.7312
  251.7148  293.0205
  281.4055  282.6046
  299.2199  252.3984
  327.4261  243.2845
  312.0859  274.2718
  340.7869  264.8975
  356.6220  234.6914
  383.8385  226.6190
  370.4777  255.5232
  398.1890  245.1073
  264.5808  316.9771
  296.2509  306.5612
  278.4364  341.9753
  309.1168  331.5594
  325.9416  298.2285
  354.6426  287.8125
  339.7973  321.1435
  370.4777  310.7276
  385.3230  278.4382
  413.0344  270.1055
  399.1787  302.3948
  427.8797  294.0621
  293.2818  367.2339
  322.9725  356.8180
  307.1375  393.0133
  338.3127  382.8578
  354.6426  346.9228
  383.3436  336.5069
  369.4880  372.1814
  399.6735  362.0259
  414.5189  326.6118
  443.2199  318.2791
  429.8591  352.3912
  459.5498  341.9753
